Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Window Size,SW Step Size,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon
LCDD,without_noise,log_8_1687181927,,,,,"[779, 1405, 1705, 2268]","[778, 1133]",0.3333333333333333,1.0,00:00:00,0.07551603764295578,3.3193862700200345e-05,,,300.0,300.0,20.0,,
LCDD,without_noise,log_4_1687181921,,,,,"[1312, 1612]","[1313, 1543]",1.0,35.0,00:00:00,0.05743111204355955,2.1795488441578576e-05,,,300.0,300.0,150.0,,
Martjushev ADWIN J,without_noise,log_47_1687181994,0.4,200.0,400.0,20.0,[],"[1076, 1388]",,,00:01:34,94.24400059506297,0.0375923416813175,,,,,,,
Process Graph Metrics,without_noise,log_22_1687181941,0.1,300.0,400.0,,"[1340, 3658]","[1159, 1512, 2578, 3506, 3838]",0.5714285714285715,162.0,00:00:03,3.314669073559344,0.0007066018063439232,,,,,,,
Process Graph Metrics,without_noise,log_70_1687182031,0.05,400.0,400.0,,"[661, 1447]",[608],0.6666666666666666,53.0,00:00:03,3.5393778635188937,0.0024061032382861275,,,,,,,
Martjushev ADWIN J,without_noise,log_56_1687182007,0.4,400.0,400.0,10.0,"[1029, 1660]","[999, 1336]",0.5,30.0,00:00:18,18.393504794687033,0.006827581586743516,,,,,,,
LCDD,without_noise,log_70_1687182031,,,,,[607],[608],1.0,1.0,00:00:00,0.04151096008718014,2.821955138489472e-05,,,200.0,200.0,200.0,,
Martjushev ADWIN J,without_noise,log_47_1687181994,0.4,400.0,500.0,10.0,[1309],"[1076, 1388]",0.6666666666666666,79.0,00:01:32,92.62255699560046,0.03694557518771458,,,,,,,
Bose J,without_noise,log_36_1687181970,,,,,"[698, 1196, 1602, 1934, 2220, 2578, 3042]","[754, 1601, 2593]",0.6,24.0,00:04:46,286.24206679314375,0.07771981178201025,200.0,2.0,,,,,
Bose WC,without_noise,log_36_1687181970,,,,,"[800, 1602, 1934, 2524, 3038]","[754, 1601, 2593]",0.7499999999999999,38.666666666666664,00:04:17,257.4209967702627,0.0698943787049315,200.0,2.0,,,,,
Earth Mover's Distance,without_noise,log_31_1687181960,,,,,"[1042, 1936, 3574]","[1043, 1868, 2070, 3338, 3677]",0.7499999999999999,57.333333333333336,00:24:37,1477.7759085092694,0.34311026433927777,300.0,2.0,,,,,
Process Graph Metrics,without_noise,log_38_1687181974,0.005,100.0,500.0,,[1175],"[1060, 1266]",0.6666666666666666,91.0,00:00:10,10.027170035988092,0.004261440729276708,,,,,,,
LCDD,without_noise,log_38_1687181974,,,,,"[309, 648, 962, 1270, 1645, 1961, 2301]","[1060, 1266]",0.4444444444444445,51.0,00:00:00,0.23093277029693127,9.814397377685136e-05,,,300.0,300.0,200.0,,
LCDD,without_noise,log_89_1687182057,,,,,[1143],"[1144, 1943, 2486]",0.5,1.0,00:00:00,0.11828264128416777,3.666541887295963e-05,,,300.0,300.0,10.0,,
Process Graph Metrics,without_noise,log_18_1687181937,0.1,300.0,400.0,,"[645, 1193, 1745]","[1013, 1325]",0.4,132.0,00:00:11,11.679269012995064,0.00553519858435785,,,,,,,
Process Graph Metrics,without_noise,log_23_1687181942,0.05,200.0,400.0,,"[1056, 1241, 2826, 4389]","[859, 1255, 2629, 4001, 4377]",0.888888888888889,105.0,00:00:57,57.60087895952165,0.010387895213619774,,,,,,,
Martjushev ADWIN J,without_noise,log_49_1687181999,0.4,300.0,500.0,50.0,"[611, 775]","[605, 889]",1.0,60.0,00:00:03,3.1450175577774644,0.0017092486727051438,,,,,,,
Process Graph Metrics,without_noise,log_36_1687181970,0.005,300.0,400.0,,"[874, 1701, 2764]","[754, 1601, 2593]",1.0,130.33333333333334,00:00:57,57.227609052322805,0.01553831361724757,,,,,,,
Process Graph Metrics,without_noise,log_30_1687181956,0.005,100.0,500.0,,[3148],"[949, 1861, 2912]",,,00:00:06,6.327952431514859,0.0015733347666620735,,,,,,,
Maaradji Runs,without_noise,log_44_1687181991,,,,,[1002],[1026],1.0,24.0,00:00:00,0.9366931039839983,0.0005739541078333323,300.0,2.0,,,,,
Martjushev J,without_noise,log_87_1687182053,0.55,,,,"[99, 300, 574, 816, 1171, 1371, 1552, 1802, 2202, 2450, 2690, 2840, 3389, 3645, 4062, 4262]","[1385, 2862, 3527, 3777]",0.4,76.5,00:04:20,260.53619987517595,0.05694780325140458,100.0,,,,,,
Martjushev ADWIN J,without_noise,log_41_1687181983,0.4,300.0,500.0,50.0,"[724, 2412, 2651, 3402]","[601, 890, 2386, 2718, 3227, 3580]",0.8,97.75,00:00:06,6.116607742384076,0.0012774869971562397,,,,,,,
Martjushev ADWIN J,without_noise,log_99_1687182077,0.4,200.0,500.0,50.0,[],"[555, 837, 2088, 2767]",,,00:00:17,17.421777123585343,0.005118030882369372,,,,,,,
Earth Mover's Distance,without_noise,log_25_1687181949,,,,,[896],"[783, 1163]",0.6666666666666666,113.0,00:03:23,203.65143624227494,0.11332856774750971,200.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_59_1687182010,0.4,200.0,500.0,10.0,"[479, 1132, 1751, 2282, 3148]","[788, 1187, 2051, 3036, 3241]",0.4000000000000001,74.0,00:00:53,53.900072059594095,0.013949294011282115,,,,,,,
Martjushev ADWIN J,without_noise,log_38_1687181974,0.4,400.0,400.0,20.0,[1119],"[1060, 1266]",0.6666666666666666,59.0,00:00:48,48.5864793965593,0.020648737525099575,,,,,,,
LCDD,without_noise,log_51_1687182003,,,,,"[226, 485, 686, 892, 1159, 1371, 1580, 1782, 2010, 2290]",[882],0.18181818181818182,10.0,00:00:00,0.04974579997360706,2.0980936302660084e-05,,,200.0,200.0,50.0,,
Process Graph Metrics,without_noise,log_31_1687181960,0.1,100.0,400.0,,"[180, 842, 1102, 2147, 3030, 3480, 4252]","[1043, 1868, 2070, 3338, 3677]",0.5,92.66666666666667,00:00:23,23.83808317873627,0.005534730248139371,,,,,,,
Martjushev ADWIN J,without_noise,log_72_1687182033,0.4,400.0,400.0,10.0,[599],"[661, 974]",0.6666666666666666,62.0,00:00:19,19.208470824174583,0.012687233041066436,,,,,,,
Process Graph Metrics,without_noise,log_43_1687181986,0.0001,300.0,500.0,,"[1170, 2568, 3738]","[979, 1204, 2415, 2632, 3669]",0.7499999999999999,55.666666666666664,00:00:30,30.410258777439594,0.007082035113516441,,,,,,,
Martjushev ADWIN J,without_noise,log_95_1687182068,0.4,200.0,400.0,50.0,[],"[561, 936, 2338, 2712, 4212]",,,00:01:35,95.31649552285671,0.016897091920378783,,,,,,,
Martjushev ADWIN J,without_noise,log_13_1687181932,0.4,100.0,400.0,20.0,"[664, 1406, 2911, 3102]","[627, 835, 1407, 2856, 3239]",0.888888888888889,57.5,00:00:07,7.640363628976047,0.0017208026191387494,,,,,,,
LCDD,without_noise,log_30_1687181956,,,,,[950],"[949, 1861, 2912]",0.5,1.0,00:00:00,0.15604099538177252,3.8796866081992174e-05,,,300.0,300.0,10.0,,
LCDD,without_noise,log_51_1687182003,,,,,"[111, 211, 322, 425, 564, 686, 787, 888, 1010, 1114, 1301, 1411, 1536, 1661, 1782, 1905, 2010, 2120, 2222, 2326]",[882],0.09523809523809523,6.0,00:00:00,0.023436754010617733,9.884754960193056e-06,,,100.0,100.0,20.0,,
Process Graph Metrics,without_noise,log_10_1687181929,0.1,400.0,400.0,,"[591, 771, 1031, 1291, 1693, 2152]","[1446, 1821]",0.5,141.5,00:00:02,2.6399568310007453,0.0010244302797829822,,,,,,,
Martjushev ADWIN J,without_noise,log_59_1687182010,0.4,400.0,500.0,20.0,"[479, 1590, 2051, 3102]","[788, 1187, 2051, 3036, 3241]",0.4444444444444445,33.0,00:01:10,70.68127560708672,0.018292255591896147,,,,,,,
Process Graph Metrics,without_noise,log_83_1687182046,0.1,100.0,500.0,,"[1234, 2720]","[1171, 1687, 2573, 2813]",0.6666666666666666,78.0,00:00:07,7.462360929697752,0.0020478487732430713,,,,,,,
Process Graph Metrics,without_noise,log_41_1687181983,0.0001,400.0,500.0,,"[874, 3626]","[601, 890, 2386, 2718, 3227, 3580]",0.5,31.0,00:00:24,24.76900045480579,0.00517314128128776,,,,,,,
Earth Mover's Distance,without_noise,log_11_1687181931,,,,,[1010],[1012],1.0,2.0,00:00:00,0.13660342060029507,8.059198855474635e-05,100.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_97_1687182074,0.4,300.0,500.0,50.0,"[1174, 2250, 3501]","[1151, 2334, 3469, 3787]",0.8571428571428571,46.333333333333336,00:00:21,21.989621048793197,0.004411157682807061,,,,,,,
Process Graph Metrics,without_noise,log_98_1687182076,0.1,200.0,500.0,,"[1085, 1801]","[896, 1153]",0.5,68.0,00:00:00,0.9697269396856427,0.000550043641341828,,,,,,,
Earth Mover's Distance,without_noise,log_2_1687181920,,,,,[1010],[1011],1.0,1.0,00:00:00,0.4428236801177263,0.00028295442819024045,100.0,2.0,,,,,
Martjushev J,without_noise,log_10_1687181929,0.55,,,,"[817, 1292, 1692, 2196]","[1446, 1821]",0.6666666666666666,141.5,00:04:24,264.7914382312447,0.1027518192593111,200.0,,,,,,
Process Graph Metrics,without_noise,log_84_1687182047,0.05,300.0,400.0,,"[1396, 1992]",[1338],0.6666666666666666,58.0,00:00:04,4.938109276816249,0.0019372731568521966,,,,,,,
Martjushev ADWIN J,without_noise,log_32_1687181966,0.4,200.0,500.0,50.0,[],"[1402, 1725]",,,00:00:12,12.368635922670364,0.004090157381835438,,,,,,,
Process Graph Metrics,without_noise,log_31_1687181960,0.005,300.0,400.0,,"[1075, 2118, 2504, 3151, 3615]","[1043, 1868, 2070, 3338, 3677]",0.8000000000000002,82.25,00:01:03,63.21675152517855,0.014677676230596367,,,,,,,
LCDD,without_noise,log_23_1687181942,,,,,[858],"[859, 1255, 2629, 4001, 4377]",0.33333333333333337,1.0,00:00:00,0.3974025333300233,7.166862638954432e-05,,,100.0,100.0,20.0,,
Process Graph Metrics,without_noise,log_65_1687182020,0.005,200.0,400.0,,"[986, 2436]","[909, 1496, 2099, 2410]",0.6666666666666666,51.5,00:00:10,10.429943765513599,0.0034095926006909444,,,,,,,
Martjushev ADWIN J,without_noise,log_3_1687181920,0.4,400.0,400.0,50.0,[],"[1041, 1298]",,,00:00:18,18.522094142623246,0.008166708175759808,,,,,,,
Zheng DBSCAN,without_noise,log_58_1687182010,,,,,[571.0],[566],1.0,5.0,00:00:00,0.16541258431971073,9.988682628001855e-05,,,,,,500.0,50.0
Zheng DBSCAN,without_noise,log_58_1687182010,,,,,[571.0],[566],1.0,5.0,00:00:00,0.16541258431971073,9.988682628001855e-05,,,,,,500.0,100.0
Zheng DBSCAN,without_noise,log_58_1687182010,,,,,[571.0],[566],1.0,5.0,00:00:00,0.16541258431971073,9.988682628001855e-05,,,,,,500.0,150.0
Zheng DBSCAN,without_noise,log_58_1687182010,,,,,[571.0],[566],1.0,5.0,00:00:00,0.16541258431971073,9.988682628001855e-05,,,,,,500.0,200.0
Zheng DBSCAN,without_noise,log_58_1687182010,,,,,[571.0],[566],1.0,5.0,00:00:00,0.16541258431971073,9.988682628001855e-05,,,,,,500.0,250.0
Bose J,without_noise,log_59_1687182010,,,,,"[646, 900, 1622, 2044, 3154]","[788, 1187, 2051, 3036, 3241]",0.6,68.66666666666667,00:04:13,253.28129623178393,0.06554898970801862,300.0,2.0,,,,,
Bose WC,without_noise,log_59_1687182010,,,,,"[900, 1834, 2086, 3328]","[788, 1187, 2051, 3036, 3241]",0.6666666666666665,78.0,00:04:23,263.43472311552614,0.068176688176896,300.0,2.0,,,,,
Process Graph Metrics,without_noise,log_57_1687182008,0.0001,200.0,400.0,,"[2733, 4308]","[1216, 1576, 2324, 2698, 4174, 4390]",0.5,58.5,00:00:15,15.510734771378338,0.002739444502186213,,,,,,,
Martjushev ADWIN J,without_noise,log_49_1687181999,0.4,100.0,400.0,20.0,"[629, 745]","[605, 889]",1.0,84.0,00:00:03,3.7505139661952853,0.002038322807714829,,,,,,,
Process Graph Metrics,without_noise,log_95_1687182068,0.005,300.0,400.0,,"[637, 916, 2657, 3637, 3817, 4412, 5187, 5774]","[561, 936, 2338, 2712, 4212]",0.6153846153846154,87.75,00:00:20,20.64809649065137,0.003660361015892815,,,,,,,
Process Graph Metrics,without_noise,log_24_1687181949,0.05,200.0,400.0,,[1112],"[994, 1238]",0.6666666666666666,118.0,00:00:01,1.7243887037038803,0.000716703534374015,,,,,,,
Process Graph Metrics,without_noise,log_99_1687182077,0.0001,400.0,500.0,,[],"[555, 837, 2088, 2767]",,,00:00:02,2.53264272864908,0.000744019603010893,,,,,,,
LCDD,without_noise,log_54_1687182005,,,,,[1170],"[1171, 1523, 2987, 3886, 4123]",0.33333333333333337,1.0,00:00:00,0.26965723000466824,5.5922279138255544e-05,,,200.0,200.0,10.0,,
Process Graph Metrics,without_noise,log_95_1687182068,0.005,200.0,500.0,,"[824, 2560, 3754, 4204]","[561, 936, 2338, 2712, 4212]",0.6666666666666665,90.66666666666667,00:00:13,13.361418110318482,0.002368625795128254,,,,,,,
Martjushev ADWIN J,without_noise,log_46_1687181991,0.4,100.0,500.0,50.0,[],"[808, 1008, 2422, 3892]",,,00:00:43,43.8740256652236,0.009480126548233275,,,,,,,
Earth Mover's Distance,without_noise,log_20_1687181939,,,,,"[1400, 1748, 2318, 2818, 3304]","[1383, 2319, 2819]",0.7499999999999999,6.333333333333333,00:00:01,1.1913462663069367,0.0003029873515531375,300.0,2.0,,,,,
Bose J,without_noise,log_90_1687182058,,,,,[650],[652],1.0,2.0,00:00:27,27.917386402375996,0.014857576584553485,100.0,2.0,,,,,
Bose WC,without_noise,log_90_1687182058,,,,,[],[652],,,00:00:34,34.22842760104686,0.01821629994733734,100.0,2.0,,,,,
Zheng DBSCAN,without_noise,log_58_1687182010,,,,,[],[566],,,00:00:00,0.16864407062530518,0.00010183820689933887,,,,,,600.0,60.0
Zheng DBSCAN,without_noise,log_58_1687182010,,,,,[],[566],,,00:00:00,0.16864407062530518,0.00010183820689933887,,,,,,600.0,120.0
Zheng DBSCAN,without_noise,log_58_1687182010,,,,,[],[566],,,00:00:00,0.16864407062530518,0.00010183820689933887,,,,,,600.0,180.0
Zheng DBSCAN,without_noise,log_58_1687182010,,,,,[],[566],,,00:00:00,0.16864407062530518,0.00010183820689933887,,,,,,600.0,240.0
Zheng DBSCAN,without_noise,log_58_1687182010,,,,,[],[566],,,00:00:00,0.16864407062530518,0.00010183820689933887,,,,,,600.0,300.0
LCDD,without_noise,log_29_1687181956,,,,,"[165, 288, 562, 662, 809, 979, 1090, 1190]","[516, 766]",0.4,44.5,00:00:00,0.02492611203342676,1.6485523831631455e-05,,,100.0,100.0,10.0,,
Martjushev ADWIN J,without_noise,log_52_1687182004,0.4,100.0,400.0,50.0,[],"[1221, 1560]",,,00:00:03,3.125598084181547,0.0010620448807956327,,,,,,,
Martjushev ADWIN J,without_noise,log_21_1687181940,0.4,200.0,500.0,10.0,[681],[668],1.0,13.0,00:00:32,32.006819694302976,0.017357277491487515,,,,,,,
Martjushev ADWIN J,without_noise,log_77_1687182038,0.4,200.0,400.0,50.0,"[349, 1700, 3151, 4102]","[560, 1784, 3134]",0.5714285714285715,50.5,00:00:27,27.59580148011446,0.006095825376654398,,,,,,,
Maaradji Runs,without_noise,log_66_1687182022,,,,,[],"[846, 1221]",,,00:00:10,10.674426930956542,0.006170188977431527,150.0,2.0,,,,,
Maaradji Runs,without_noise,log_40_1687181982,,,,,"[1176, 2084, 3414]","[1205, 2115, 3442]",1.0,29.333333333333332,00:00:01,1.936299655586481,0.0004307674428446009,100.0,2.0,,,,,
Zheng DBSCAN,without_noise,log_21_1687181940,,,,,"[608.9444444444445, 921.0, 1052.5, 1309.0, 1706.0]",[668],0.33333333333333337,59.05555555555554,00:00:01,1.002367309294641,0.0005435831395307163,,,,,,600.0,60.0
Zheng DBSCAN,without_noise,log_21_1687181940,,,,,"[608.9444444444445, 921.0, 1052.5, 1309.0, 1706.0]",[668],0.33333333333333337,59.05555555555554,00:00:01,1.002367309294641,0.0005435831395307163,,,,,,600.0,120.0
Zheng DBSCAN,without_noise,log_21_1687181940,,,,,"[608.9444444444445, 1008.6666666666666, 1309.0, 1706.0]",[668],0.4,59.05555555555554,00:00:01,1.002367309294641,0.0005435831395307163,,,,,,600.0,180.0
Zheng DBSCAN,without_noise,log_21_1687181940,,,,,"[666.047619047619, 1309.0, 1706.0]",[668],0.5,1.9523809523809632,00:00:01,1.002367309294641,0.0005435831395307163,,,,,,600.0,240.0
Zheng DBSCAN,without_noise,log_21_1687181940,,,,,"[695.2727272727273, 1706.0]",[668],0.6666666666666666,27.272727272727252,00:00:01,1.002367309294641,0.0005435831395307163,,,,,,600.0,300.0
Process Graph Metrics,without_noise,log_99_1687182077,0.0001,200.0,500.0,,[],"[555, 837, 2088, 2767]",,,00:00:02,2.6667674081400037,0.0007834216827673336,,,,,,,
LCDD,without_noise,log_60_1687182015,,,,,"[102, 202, 303, 403, 510, 611, 714, 814, 916, 1024, 1124, 1224, 1333, 1434, 1541, 1645, 1748, 1859, 1970, 2081]",[694],0.09523809523809523,20.0,00:00:00,0.06316686514765024,2.972558359889423e-05,,,100.0,100.0,20.0,,
LCDD,without_noise,log_41_1687181983,,,,,[2385],"[601, 890, 2386, 2718, 3227, 3580]",0.2857142857142857,1.0,00:00:00,0.2727816253900528,5.697193512741286e-05,,,200.0,200.0,200.0,,
LCDD,without_noise,log_75_1687182036,,,,,"[147, 255, 430, 565, 714, 814, 916, 1037, 1176, 1288, 1404, 1515, 1615, 1732, 1856, 1989, 2182]","[1099, 1445]",0.21052631578947367,51.5,00:00:00,0.050171046517789364,2.1578944738834136e-05,,,100.0,100.0,50.0,,
Martjushev ADWIN J,without_noise,log_19_1687181938,0.4,300.0,500.0,20.0,[],[771],,,00:00:17,17.859463104978204,0.011986216848978661,,,,,,,
Earth Mover's Distance,without_noise,log_92_1687182064,,,,,[1056],[1041],1.0,15.0,00:01:13,73.24085704330355,0.03265307937730876,100.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_30_1687181956,0.4,200.0,400.0,50.0,[],"[949, 1861, 2912]",,,00:00:22,22.03475537803024,0.0054785567822054305,,,,,,,
Zheng DBSCAN,without_noise,log_15_1687181933,,,,,"[956.0, 1344.0]","[957, 1345]",1.0,1.0,00:00:00,0.11066185683012009,4.209275649681251e-05,,,,,,400.0,40.0
Zheng DBSCAN,without_noise,log_15_1687181933,,,,,"[956.0, 1344.0]","[957, 1345]",1.0,1.0,00:00:00,0.11066185683012009,4.209275649681251e-05,,,,,,400.0,80.0
Zheng DBSCAN,without_noise,log_15_1687181933,,,,,"[956.0, 1344.0]","[957, 1345]",1.0,1.0,00:00:00,0.11066185683012009,4.209275649681251e-05,,,,,,400.0,120.0
Zheng DBSCAN,without_noise,log_15_1687181933,,,,,"[956.0, 1344.0]","[957, 1345]",1.0,1.0,00:00:00,0.11066185683012009,4.209275649681251e-05,,,,,,400.0,160.0
Zheng DBSCAN,without_noise,log_15_1687181933,,,,,"[956.0, 1344.0]","[957, 1345]",1.0,1.0,00:00:00,0.11066185683012009,4.209275649681251e-05,,,,,,400.0,200.0
LCDD,without_noise,log_8_1687181927,,,,,"[779, 1405, 1705, 2268]","[778, 1133]",0.3333333333333333,1.0,00:00:00,0.03987677861005068,1.752825433408821e-05,,,300.0,300.0,10.0,,
Bose J,without_noise,log_13_1687181932,,,,,"[720, 740, 1406, 3032, 3060]","[627, 835, 1407, 2856, 3239]",1.0,108.8,00:00:33,33.33731477800757,0.007508404229280984,200.0,2.0,,,,,
Bose WC,without_noise,log_13_1687181932,,,,,"[730, 1406, 3046]","[627, 835, 1407, 2856, 3239]",0.7499999999999999,98.0,00:00:29,29.661812781356275,0.006680588464269431,200.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_97_1687182074,0.4,400.0,400.0,50.0,"[1099, 2400, 3401]","[1151, 2334, 3469, 3787]",0.8571428571428571,62.0,00:00:19,19.783833262510598,0.0039686726705136606,,,,,,,
Martjushev ADWIN J,without_noise,log_23_1687181942,0.4,300.0,500.0,50.0,"[849, 2650, 3801]","[859, 1255, 2629, 4001, 4377]",0.7499999999999999,77.0,00:01:45,105.60132686700672,0.01904442324021762,,,,,,,
Process Graph Metrics,without_noise,log_52_1687182004,0.1,300.0,500.0,,[1461],"[1221, 1560]",0.6666666666666666,99.0,00:00:04,4.437797285616398,0.0015079161690847427,,,,,,,
Process Graph Metrics,without_noise,log_5_1687181922,0.0001,200.0,400.0,,[985],"[689, 980]",0.6666666666666666,5.0,00:00:12,12.55699906591326,0.007399528029412646,,,,,,,
LCDD,without_noise,log_16_1687181934,,,,,"[1230, 1794, 2775]","[1218, 1793, 2771]",1.0,5.666666666666667,00:00:00,0.052160792984068394,1.2923883296349949e-05,,,300.0,300.0,100.0,,
Martjushev ADWIN J,without_noise,log_26_1687181951,0.4,400.0,500.0,50.0,[1449],"[1394, 1683]",0.6666666666666666,55.0,00:00:10,10.468597622588277,0.0038601023682110166,,,,,,,
Process Graph Metrics,without_noise,log_29_1687181956,0.0001,300.0,500.0,,[],"[516, 766]",,,00:00:04,4.736461062915623,0.0031325800680658883,,,,,,,
Process Graph Metrics,without_noise,log_27_1687181952,0.05,300.0,400.0,,"[786, 2036, 3371]","[605, 944, 1861, 2203, 3080, 3444]",0.6666666666666666,132.66666666666666,00:00:08,8.32970396336168,0.0019956166658748635,,,,,,,
LCDD,without_noise,log_11_1687181931,,,,,[1011],[1012],1.0,1.0,00:00:00,0.039175364188849926,2.311230925595866e-05,,,300.0,300.0,20.0,,
Martjushev ADWIN J,without_noise,log_58_1687182010,0.4,100.0,400.0,10.0,[],[566],,,00:00:03,3.3649145094677806,0.0020319532062003506,,,,,,,
Martjushev ADWIN J,without_noise,log_4_1687181921,0.4,300.0,500.0,10.0,[],"[1313, 1543]",,,00:00:07,7.314691515639424,0.0027759740097303316,,,,,,,
Process Graph Metrics,without_noise,log_27_1687181952,0.005,200.0,400.0,,"[787, 2037, 3398]","[605, 944, 1861, 2203, 3080, 3444]",0.6666666666666666,123.0,00:00:15,15.19147311989218,0.0036395479443919933,,,,,,,
Martjushev ADWIN J,without_noise,log_33_1687181967,0.4,200.0,400.0,10.0,[],[987],,,00:00:02,2.140869088470936,0.0014001759898436467,,,,,,,
LCDD,without_noise,log_45_1687181991,,,,,[545],[546],1.0,1.0,00:00:00,0.033998952247202396,2.4744506730132747e-05,,,100.0,100.0,200.0,,
LCDD,without_noise,log_68_1687182024,,,,,"[250, 523, 913, 1129, 1425, 1706, 1924, 2258, 2498, 2800, 3005, 3227, 3427, 3648, 3855, 4100, 4342]","[896, 1272, 1818, 2030, 2923, 3240]",0.5217391304347826,78.83333333333333,00:00:00,0.27367084100842476,6.05868587576765e-05,,,200.0,200.0,150.0,,
Zheng DBSCAN,without_noise,log_42_1687181985,,,,,"[700.0, 1373.0, 1529.6666666666667, 1722.0, 1818.0]","[1494, 1841]",0.5714285714285715,29.33333333333337,00:00:00,0.5152337839826941,0.00020079258923721518,,,,,,600.0,60.0
Zheng DBSCAN,without_noise,log_42_1687181985,,,,,"[700.0, 1583.6666666666667]","[1494, 1841]",0.5,89.66666666666674,00:00:00,0.5152337839826941,0.00020079258923721518,,,,,,600.0,120.0
Zheng DBSCAN,without_noise,log_42_1687181985,,,,,"[700.0, 1583.6666666666667]","[1494, 1841]",0.5,89.66666666666674,00:00:00,0.5152337839826941,0.00020079258923721518,,,,,,600.0,180.0
Zheng DBSCAN,without_noise,log_42_1687181985,,,,,"[700.0, 1583.6666666666667]","[1494, 1841]",0.5,89.66666666666674,00:00:00,0.5152337839826941,0.00020079258923721518,,,,,,600.0,240.0
Zheng DBSCAN,without_noise,log_42_1687181985,,,,,"[700.0, 1583.6666666666667]","[1494, 1841]",0.5,89.66666666666674,00:00:00,0.5152337839826941,0.00020079258923721518,,,,,,600.0,300.0
Martjushev ADWIN J,without_noise,log_63_1687182017,0.4,200.0,500.0,20.0,[],"[727, 968, 1760, 2588, 2871]",,,00:00:33,33.259554367512465,0.007831305478576045,,,,,,,
LCDD,without_noise,log_61_1687182016,,,,,[],"[1128, 1415]",,,00:00:00,0.04789451137185097,1.8635996642743567e-05,,,100.0,100.0,200.0,,
