Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Window Size,SW Step Size,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon
LCDD,without_noise,log_16_1687181934,,,,,"[1230, 1340, 1440, 1561, 1664, 1781, 2784, 2888]","[1218, 1793, 2771]",0.5454545454545454,12.333333333333334,00:00:00,0.06341102160513401,1.5711353222282955e-05,,,100.0,100.0,50.0,,
Martjushev ADWIN J,without_noise,log_16_1687181934,0.4,200.0,400.0,20.0,[],"[1218, 1793, 2771]",,,00:00:35,35.87869649846107,0.008889667120530492,,,,,,,
Martjushev ADWIN J,without_noise,log_65_1687182020,0.4,200.0,500.0,50.0,"[849, 1500]","[909, 1496, 2099, 2410]",0.6666666666666666,32.0,00:00:14,14.310399791225791,0.004678130039629223,,,,,,,
Process Graph Metrics,without_noise,log_15_1687181933,0.05,400.0,500.0,,[1148],"[957, 1345]",0.6666666666666666,191.0,00:00:05,5.613211056217551,0.002135112611722157,,,,,,,
Martjushev ADWIN J,without_noise,log_8_1687181927,0.4,300.0,500.0,20.0,[],"[778, 1133]",,,00:00:37,37.976053710095584,0.016692770861580476,,,,,,,
Martjushev ADWIN J,without_noise,log_42_1687181985,0.4,100.0,400.0,20.0,"[1529, 1765]","[1494, 1841]",1.0,55.5,00:00:09,9.902298531495035,0.0038590407371375817,,,,,,,
Process Graph Metrics,without_noise,log_64_1687182018,0.05,200.0,500.0,,"[432, 876, 1372]",[1359],0.5,13.0,00:00:13,13.415882100351155,0.006796292857320747,,,,,,,
Process Graph Metrics,without_noise,log_56_1687182007,0.005,100.0,400.0,,[1327],"[999, 1336]",0.6666666666666666,9.0,00:00:10,10.942452235147357,0.00406178627882233,,,,,,,
Martjushev ADWIN J,without_noise,log_15_1687181933,0.4,400.0,400.0,10.0,"[1011, 1250]","[957, 1345]",1.0,74.5,00:00:03,3.1706034392118454,0.0012060111978744181,,,,,,,
Process Graph Metrics,without_noise,log_45_1687181991,0.05,400.0,500.0,,[611],[546],1.0,65.0,00:00:01,1.0565081043168902,0.0007689287513223364,,,,,,,
Zheng DBSCAN,without_noise,log_65_1687182020,,,,,"[304.0, 429.5, 594.0, 630.0, 668.0, 707.5, 911.6153846153846, 982.0, 1070.0, 1239.0, 1274.0, 1308.5, 1490.9, 1650.5, 1743.0, 2003.0, 2115.6666666666665, 2357.0, 2408.5, 2540.6666666666665, 3050.0]","[909, 1496, 2099, 2410]",0.32,6.470512820512766,00:00:00,0.8035722700878978,0.0002626911638077469,,,,,,300.0,30.0
