Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Maaradji Runs,without_noise,log_80_1687182042,100,2,[980],[981],1.0,1.0,00:02:42,162.5303396563977,0.0767014344768276
Maaradji Runs,with_noise_20,log_80_1687182042,150,2,[],[981],,,00:00:13,13.160143767483532,0.0062105444867784
Maaradji Runs,without_noise,log_80_1687182042,200,2,[974],[981],1.0,7.0,00:02:58,178.04051388520747,0.0840210070246377
Maaradji Runs,with_noise_10,log_80_1687182042,250,2,[],[981],,,00:00:10,10.749052967876196,0.0050727007871053
Maaradji Runs,with_noise_20,log_80_1687182042,300,2,[],[981],,,00:00:12,12.297781934961677,0.0058035780721857
Maaradji Runs,without_noise,log_80_1687182042,50,2,[],[981],,,00:02:44,164.7672187918797,0.0777570640830012
Maaradji Runs,with_noise_20,log_81_1687182043,150,2,[],"[751, 1119]",,,00:00:00,0.9896975876763464,0.0005384644111405
Maaradji Runs,with_noise_10,log_81_1687182043,200,2,[],"[751, 1119]",,,00:00:00,0.7303574094548821,0.000397365293501
Maaradji Runs,with_noise_10,log_81_1687182043,250,2,[],"[751, 1119]",,,00:00:00,0.658586073666811,0.0003583166886108
Maaradji Runs,with_noise_10,log_81_1687182043,300,2,[],"[751, 1119]",,,00:00:00,0.6147850072011352,0.0003344858581072
